,0,1,2,3,4,5,6
25,cUzNwW8HzU4mmAOGIQ2C4KkGoAQ_sHrDYYGtgsXe3LIY3I-5,4ZBTC94tGeagsHbTLUSPNyzzGd0znR0eqlPLnxenutvJYpi1sKCTw7oV,DE0q5vr11Uw6oR2OATDcghv-y7pA18oyV8jwCQPiSpnxpRBbivL2YGfCnnv0JHpAw-XYpYXayMmPew,MawMawEvelynnn,3791.0,1602717990000.0,41.0
26,0AR5Y1uNVH0tvUISuLdvxBLrY86SW-U74zzUHxyHR9IJbGvO,Y6mG_VgQaujFCLq8w2hZ7lrpKOj3leeJZvg9BcVq4zD6JIIBAOFenA0E,LJeCJgjlNpWlX6eo_MgvUtaH3fv5FiE71MwsHdPIn3L5FhZU-qmoG3ljbhaMwdo_5WKhNzkobNH15w,Scroty Doinkials,23.0,1610962598000.0,22.0
27,01V6BJRvZxplf3cl6d4Ec6HBzjE1TcmzicbdlzgqHYKq2LOp,7Bs5dmbn9zERZK7M9NImX06vqHO3zJy3iOuSELlmxUnbu1KjQFA6yVEs,TJmENw1_G0X2suIFfgFt8y5_HwNYGnrm9mDMq4OlWcHcJN6MqK5GCj1rjwioDVvR8sQ3Z5hayRYN5g,pHmeter,3873.0,1611124277000.0,71.0
28,AdCGNlMUu-ME_L-tsf1KCTwqg2rZ_nLz8JIR3qg3WFLUASCa,7FdGwsD3NT1DWZxMJNb2v1J9l7gfhlAndYQa2JgXP31rfd63HsYgS7iI,3ZOmXuxFDP90maipI2kPyPaM27FefQwPg2p4j4h74-v51hEH1Mpd5FQNpuQSflKvcmBgjklhrAnO2Q,SolarKay,3787.0,1611038161000.0,81.0
29,8tfcQx6x3ryLDN4sS4u9qgAPVKZyWvuhpIQkAJO35LN7zLHQ,cwS2WrF_LpT2B-t4Kd9P-f_fkNvKW2ROR0Pc3MViCD1RJGyQL_y2Vamy,Ho5SIobjevoETgezlVP3aCU13b-zMYyZ_WnVVM1P43pbfHjD8S5VbscH1_F0Hmi94s2tB2NPCn_x4g,DHaney72,4422.0,1602432715000.0,121.0
30,IFT3hkxuj7LHB06YAOQj3QzpFh2hrMOOz1p0Tx5-PdmHBNJ_,22iMskKHwjYhKNrtSn-wkgoj0m414xfntgygEtCo3_N30P00s1a8avS_,iqIIzPzjRSOBqAQ3hhK2X0m9btER6feOckschAZmxwJUC2ulc37uMIPTAhoMwcBuYFnwF31YJZBdnA,Haena,4793.0,1611385732000.0,146.0
31,xkTpqxsET62YZFfLRQeqmD6EzGo7T6ni_nQqqadu6djqmEOu,37YKKqD-hvczZUr9qKnCkpIsKb1fTOvr5tpOnFu_TWPY6v_M-GNzSwdq,hrwnp-RKD8ep7Mqi9O-u7BhcrqsNys6-SHuMYvdM3nr4qmD8VHm_ocBw2FA2e18-t3UIBvPcPDTH3w,Kraygaz,4762.0,1611386121000.0,89.0
32,TGgpXwj48GcNtpaCq7mV97kDenOIbaz864B6fsBy49hIQd3v,8NjNvuElOoK2zMF91Lee1pH2chtCZxWyi51I6qACcrj10ozlIljzmuR6,cjc1pqdHsNhwm-g5jEScFUL415IwRu8ycT0qPKh1Bdvqa2jjMxxHhJDxh1ebQKKo9zPKCh18pArYJA,Wizard Roronoa,10.0,1611382472000.0,101.0
33,A_AczTOySgmcqzUZgxtjw33cEOSfKkjSsnwUm3vWFtALr11P,EXqDoBZbmWvSc55EQXcGcG6SpdovJJsVqPdnFtALuESbBfCBGv_Suygq,GFhAVVxKcIhfbP5uXc1zSto4FDWFdG24hdr88h9yd-S-3vfPMkw4br3vmVP2K2V81j5cSmQyndRUFA,CyFurious,3523.0,1606900097000.0,23.0
34,cbVtC9-BGnPGK6n3Dv56-RcaaaBtCfdBjYZ9sNReQ6XG1IPP,Dq7p7KDEjRoMDLemxfmb_ZuAIWtSLds8LF7MhP6aaC6C7nRtul_eYygU,chTe0l4nelUR8H3oFQ-oeR60udfg9_Cu7S9iys7ql36HzNTL9CU_TZAwVQGDGiGAuDWK34zEKVgO3A,Jane2,4794.0,1611426236125.0,355.0
